Gene_ID	Symbol
ENSDARG00000000001	slc35a5
ENSDARG00000000002	ccdc80
ENSDARG00000000018	nrf1
ENSDARG00000000019	ube2h
ENSDARG00000000068	slc9a3r1
ENSDARG00000000069	dap
ENSDARG00000000086	itsn1
ENSDARG00000000102	musk
ENSDARG00000000103	myh10
ENSDARG00000000151	thraa
ENSDARG00000000161	itsn2a
ENSDARG00000000175	hoxb2a
ENSDARG00000000183	ptpn4b
ENSDARG00000000189	sema6e
ENSDARG00000000229	usp49
ENSDARG00000000241	slc40a1
ENSDARG00000000324	DCAF8
ENSDARG00000000369	prkag3b
ENSDARG00000000370	triob
ENSDARG00000000380	pde6a
ENSDARG00000000384	slc15a4
ENSDARG00000000394	matr3l1.1
ENSDARG00000000442	slc39a13
ENSDARG00000000472	cntn2
ENSDARG00000000476	pms1
ENSDARG00000000489	upf3b
ENSDARG00000000503	stx1b
ENSDARG00000000516	ankar
ENSDARG00000000529	ofd1
ENSDARG00000000540	asnsd1
ENSDARG00000000542	gtf2e1
ENSDARG00000000551	slc1a4
ENSDARG00000000563	ttnb
ENSDARG00000000567	ZNF281 (1 of 2)
ENSDARG00000000568	ell
ENSDARG00000000588	grasp
ENSDARG00000000606	dnah7l
ENSDARG00000000631	ptpn4a
ENSDARG00000000651	osgepl1
ENSDARG00000000656	psmb9a
ENSDARG00000000666	creg2
ENSDARG00000000690	sypl2b
ENSDARG00000000729	daxx
ENSDARG00000000730	slc6a13
ENSDARG00000000747	lcmt2
ENSDARG00000000760	znf511
ENSDARG00000000767	spi1b
ENSDARG00000000779	sly1
ENSDARG00000000796	nr4a1
ENSDARG00000000804	rassf6
ENSDARG00000000830	telo2
ENSDARG00000000837	snx9a
ENSDARG00000000853	dstyk
ENSDARG00000000857	mapk14a
ENSDARG00000000861	scrib
ENSDARG00000000887	GTSF1L
ENSDARG00000000906	skap2
ENSDARG00000000935	unk
ENSDARG00000000943	dzip1
ENSDARG00000000966	ncor2
ENSDARG00000000972	pcxa
ENSDARG00000001014	myh9b
ENSDARG00000001015	znf384l
ENSDARG00000001057	bysl
ENSDARG00000001129	dicer1
ENSDARG00000001154	rimbp2
ENSDARG00000001162	matr3l1.1
ENSDARG00000001169	hsd17b8
ENSDARG00000001210	arl14ep
ENSDARG00000001220	mycbp2
ENSDARG00000001241	puf60b
ENSDARG00000001244	srrm1
ENSDARG00000001249	pcgf1
ENSDARG00000001259	GAS2 (1 of 2)
ENSDARG00000001285	rbm14b
ENSDARG00000001303	psmb8
ENSDARG00000001313	g2e3
ENSDARG00000001354	slc6a13l
ENSDARG00000001414	mctp2a
ENSDARG00000001431	actn3b
ENSDARG00000001442	inppl1b
ENSDARG00000001447	mier1b
ENSDARG00000001452	adam8a
ENSDARG00000001470	mhc1zea
ENSDARG00000001498	skap1
ENSDARG00000001549	sp3a
ENSDARG00000001557	tomm34
ENSDARG00000001558	kifc1
ENSDARG00000001559	csmd2
ENSDARG00000001578	echs1
ENSDARG00000001621	nfyal
ENSDARG00000001634	kirrela
ENSDARG00000001656	psmb10
ENSDARG00000001676	gpm6bb
ENSDARG00000001686	uckl1a
ENSDARG00000001710	flot1a
ENSDARG00000001729	strn3
ENSDARG00000001733	gulp1a
ENSDARG00000001734	fkbp8
ENSDARG00000001754	noc2l
ENSDARG00000001760	TNXB
ENSDARG00000001767	slc29a2
ENSDARG00000001769	ptpra
ENSDARG00000001776	stim2b
ENSDARG00000001777	nup155
ENSDARG00000001781	tspan11
ENSDARG00000001782	prkacba
ENSDARG00000001784	hoxa5a
ENSDARG00000001785	irx2a
ENSDARG00000001788	atp5o
ENSDARG00000001803	kcnh6
ENSDARG00000001807	tnfrsf21
ENSDARG00000001825	wdr96
